model,fold,accuracy,precision,recall,f1,roc_auc
RandomForest,1,0.7743414738189186,0.7497720463722808,0.8212298473391354,0.7838758000817104,0.8582674276618384
RandomForest,2,0.776545448082187,0.7515289525048796,0.8240119845912398,0.7861031713624609,0.8614071008924492
RandomForest,3,0.7706800327041342,0.746594538225901,0.8171636467399058,0.7802867749736044,0.8549978033829772
RandomForest,4,0.7734527745192137,0.7488768800052087,0.8205164788129548,0.7830615787861251,0.8583028585176753
RandomForest,5,0.7771142156339981,0.7537665400235818,0.8208731630760451,0.7858899057505805,0.8601269700948411
XGBoost,1,0.8028509473534535,0.7896212224805141,0.8238693108860037,0.806381790252758,0.8868122427080196
XGBoost,2,0.8048771817567808,0.7928311474284144,0.8236553003281495,0.8079493369721144,0.8884871549740023
XGBoost,3,0.79719881980733,0.7862011980995662,0.8145241831930375,0.8001121194071686,0.8822582138903977
XGBoost,4,0.8016423163058547,0.7892103098437071,0.8213011841917535,0.8049360274068377,0.8860899046328437
XGBoost,5,0.8078632114037894,0.7964479933916156,0.825367384790983,0.8106498511122788,0.8881451040410565
MLP,1,0.7263517116348512,0.7229434175250459,0.7309887287772864,0.7269438138479001,0.8009610423144653
MLP,2,0.7343144573602076,0.719656283566058,0.7647310600656299,0.7415093034516151,0.8078670289154706
MLP,3,0.7246809569514059,0.6969297419476361,0.7918390640604936,0.7413591584571715,0.8020108990862604
MLP,4,0.731683907433081,0.7288807131739069,0.7349122556712798,0.7318840579710145,0.8062274312474338
MLP,5,0.7294088372258363,0.7123442057809599,0.7665144813810815,0.7384372208095663,0.8058017731997196
Stacking Ensemble,1,0.8029931392414063,0.8019378740381875,0.8029676130689114,0.8024524132031083,0.887126113739219
Stacking Ensemble,2,0.8053037574206392,0.8043183923608637,0.8051790555000713,0.8047484938148373,0.8893436319088361
Stacking Ensemble,3,0.7974121076392592,0.801916237206939,0.7881295477243544,0.7949631228638244,0.8831688821663297
Stacking Ensemble,4,0.8026732074935125,0.8007815275310834,0.8040376658581824,0.8024062933826932,0.8858545380059529
Stacking Ensemble,5,0.8061569087483559,0.8092727666642594,0.7994007704380083,0.8043064776601472,0.8877486241965404
