iter,fold,n_d,n_a,n_steps,gamma,lambda_sparse,optimizer_params,batch_size,virtual_batch_size,mask_type,accuracy,precision,recall,f1,roc_auc
1,1,32,8,3,2.0,0.001,{'lr': 0.01},128,32,entmax,0.5469103410838686,0.2930520351871179,0.880600358422939,0.439758362232912,0.7225891564871058
1,2,32,8,3,2.0,0.001,{'lr': 0.01},128,32,entmax,0.58167835331373,0.30270537776311446,0.8223168272462469,0.4425152227648158,0.7202964058001953
1,3,32,8,3,2.0,0.001,{'lr': 0.01},128,32,entmax,0.5149513684686723,0.281402822411625,0.9023297491039427,0.42901267440622004,0.7200609810174611
1,4,32,8,3,2.0,0.001,{'lr': 0.01},128,32,entmax,0.5237276634245646,0.2864487956050148,0.9110663082437276,0.4358589647411853,0.7183567399807267
1,5,32,8,3,2.0,0.001,{'lr': 0.01},128,32,entmax,0.5742592173716353,0.3007331023926529,0.8362455197132617,0.4423771997392902,0.722566796171106
2,1,32,32,7,1.0,0.01,{'lr': 0.001},128,32,entmax,0.5717452275400344,0.30176717647991125,0.8530465949820788,0.4458233331382076,0.7285114101287292
2,2,32,32,7,1.0,0.01,{'lr': 0.001},128,32,entmax,0.5423659805473875,0.2904588924308696,0.8778848308312794,0.4364973262032086,0.7198489117705713
2,3,32,32,7,1.0,0.01,{'lr': 0.001},128,32,entmax,0.5446731508708437,0.29058550811336276,0.8705197132616488,0.4357234961036049,0.7192612418346069
2,4,32,32,7,1.0,0.01,{'lr': 0.001},128,32,entmax,0.554308979868808,0.29491473812423874,0.867831541218638,0.44022727272727274,0.7251824660965139
2,5,32,32,7,1.0,0.01,{'lr': 0.001},128,32,entmax,0.5596923772902058,0.295632611899775,0.8537186379928315,0.4391817919907808,0.7204583617017948
3,1,8,8,7,2.0,0.0001,{'lr': 0.01},512,128,sparsemax,0.4859766579209264,0.2697724087298939,0.9054659498207885,0.4156939373682316,0.7166195337555906
3,2,8,8,7,2.0,0.0001,{'lr': 0.01},512,128,sparsemax,0.5838045691020132,0.2999070710484075,0.7954290835760699,0.43558282208588955,0.7129226100009899
3,3,8,8,7,2.0,0.0001,{'lr': 0.01},512,128,sparsemax,0.5301063107894142,0.2877213103003369,0.8991935483870968,0.43594895465653,0.723776906609501
3,4,8,8,7,2.0,0.0001,{'lr': 0.01},512,128,sparsemax,0.6137525446731509,0.3097328600784607,0.742831541218638,0.4371786420566908,0.7124381760557386
3,5,8,8,7,2.0,0.0001,{'lr': 0.01},512,128,sparsemax,0.6068762723365755,0.3097767374864962,0.7708333333333334,0.44194708451066017,0.7174796224541273
4,1,8,16,7,1.5,0.0001,{'lr': 0.01},512,64,sparsemax,0.564009771102868,0.2982059282371295,0.8564068100358423,0.44237445035871326,0.7167384421706265
4,2,8,16,7,1.5,0.0001,{'lr': 0.01},512,64,sparsemax,0.5643971952047048,0.2951625693893735,0.833968182836657,0.43601007438645817,0.7166659241031126
4,3,8,16,7,1.5,0.0001,{'lr': 0.01},512,64,sparsemax,0.4596697579733092,0.26193507320178233,0.9218189964157706,0.40795082779815606,0.7182606630875167
4,4,8,16,7,1.5,0.0001,{'lr': 0.01},512,64,sparsemax,0.5433159918570459,0.29108852118423983,0.8788082437275986,0.43732233431804246,0.7189154551784405
4,5,8,16,7,1.5,0.0001,{'lr': 0.01},512,64,sparsemax,0.5675186609364398,0.29638804538916413,0.8308691756272402,0.43691836494286723,0.7178461648176627
5,1,16,8,3,1.5,0.0001,{'lr': 0.01},256,32,sparsemax,0.5555052926807201,0.29605963791267303,0.8718637992831542,0.4420215786484952,0.7245317526418507
5,2,16,8,3,1.5,0.0001,{'lr': 0.01},256,32,sparsemax,0.5282515268038905,0.28310668315031634,0.8722832175666592,0.4274733721313275,0.7134443900208298
5,3,16,8,3,1.5,0.0001,{'lr': 0.01},256,32,sparsemax,0.5077131870617507,0.2757825600894354,0.8841845878136201,0.4204303365999148,0.7085062552330541
5,4,16,8,3,1.5,0.0001,{'lr': 0.01},256,32,sparsemax,0.5280705722687175,0.2847663012117715,0.8844086021505376,0.4308162374508948,0.699411928397089
5,5,16,8,3,1.5,0.0001,{'lr': 0.01},256,32,sparsemax,0.5602804795295182,0.295931045193353,0.8537186379928315,0.4395110137239073,0.718335050933198
