accuracy,precision,recall,f1,roc_auc,average_precision,chunk,fold
0.755,0.2727272727272727,0.2647058823529412,0.26865671641791045,0.6543231750531538,0.2709324390777328,0,0
0.795,0.3157894736842105,0.17647058823529413,0.22641509433962265,0.7297129695251594,0.33176419385078043,0,1
0.785,0.37142857142857144,0.38235294117647056,0.37681159420289856,0.7175761871013464,0.37274154010629235,0,2
0.79,0.35714285714285715,0.29411764705882354,0.3225806451612903,0.7250177179305457,0.37957048968181145,0,3
0.785,0.3181818181818182,0.2,0.24561403508771928,0.6697835497835498,0.3383764782709729,0,4
0.795,0.5333333333333333,0.37209302325581395,0.4383561643835616,0.7521848615019997,0.48168087533680604,1,0
0.74,0.3548387096774194,0.2558139534883721,0.2972972972972973,0.6471633832024886,0.3153755312854628,1,1
0.765,0.42857142857142855,0.27906976744186046,0.3380281690140845,0.6604947415197749,0.3916563825929057,1,2
0.775,0.48,0.2727272727272727,0.34782608695652173,0.7421328671328672,0.49692043386499507,1,3
0.76,0.4473684210526316,0.38636363636363635,0.4146341463414634,0.7239219114219115,0.41582131074174666,1,4
0.775,0.35294117647058826,0.15,0.21052631578947367,0.6659375,0.29973476085426115,2,0
0.79,0.46875,0.375,0.4166666666666667,0.779921875,0.4270830458278335,2,1
0.755,0.3448275862068966,0.25,0.2898550724637681,0.73125,0.38089883239914624,2,2
0.775,0.38095238095238093,0.2,0.26229508196721313,0.716796875,0.3487528376414497,2,3
0.76,0.375,0.3,0.3333333333333333,0.71328125,0.3838737209812499,2,4
0.765,0.5151515151515151,0.3541666666666667,0.41975308641975306,0.7411595394736841,0.4888251491993518,3,0
0.75,0.47058823529411764,0.3333333333333333,0.3902439024390244,0.7761787280701753,0.5284728136025367,3,1
0.755,0.4838709677419355,0.3125,0.379746835443038,0.7637061403508772,0.49007095379269233,3,2
0.78,0.5625,0.375,0.45,0.7865953947368421,0.5030584095158529,3,3
0.785,0.6153846153846154,0.32653061224489793,0.4266666666666667,0.8030814974996622,0.5701830153974874,3,4
0.735,0.3157894736842105,0.13043478260869565,0.18461538461538463,0.6638904573687183,0.3761205332940162,4,0
0.715,0.28,0.15217391304347827,0.19718309859154928,0.6072840203274986,0.2891233422225066,4,1
0.765,0.47058823529411764,0.17391304347826086,0.25396825396825395,0.6988989271597966,0.4363810734684768,4,2
0.755,0.42857142857142855,0.1956521739130435,0.26865671641791045,0.6144127611518916,0.36481796538504785,4,3
0.74,0.375,0.1956521739130435,0.2571428571428571,0.6278232636928289,0.29594088189660067,4,4
0.735,0.3157894736842105,0.13043478260869565,0.18461538461538463,0.6012140033879164,0.30488343152680875,5,0
0.7,0.28125,0.1956521739130435,0.23076923076923078,0.5734048560135516,0.30468267736049937,5,1
0.745,0.3333333333333333,0.10869565217391304,0.16393442622950818,0.6279644268774703,0.34242345228529436,5,2
0.665,0.21621621621621623,0.17391304347826086,0.1927710843373494,0.5452428006775834,0.2891772274640576,5,3
0.68,0.18518518518518517,0.10638297872340426,0.13513513513513514,0.6479627311917675,0.28930506338336553,5,4
0.735,0.2,0.06818181818181818,0.1016949152542373,0.5886509324009325,0.2786907625160643,6,0
0.765,0.3333333333333333,0.06818181818181818,0.11320754716981132,0.5316870629370629,0.24218251090643628,6,1
0.71,0.15,0.06818181818181818,0.09375,0.46824009324009325,0.23528812620323702,6,2
0.77,0.3333333333333333,0.045454545454545456,0.08,0.4995629370629371,0.22713285107458506,6,3
0.735,0.16666666666666666,0.044444444444444446,0.07017543859649122,0.4555555555555556,0.20826130829287254,6,4
0.845,0.42105263157894735,0.2857142857142857,0.3404255319148936,0.8798795681063123,0.44039923195993075,7,0
0.835,0.38095238095238093,0.2857142857142857,0.32653061224489793,0.8750000000000001,0.4285428527271357,7,1
0.82,0.25,0.14285714285714285,0.18181818181818182,0.8247508305647839,0.3179261032684869,7,2
0.845,0.38461538461538464,0.17857142857142858,0.24390243902439024,0.8269310631229235,0.39874257193295015,7,3
0.855,0.5,0.3103448275862069,0.3829787234042553,0.8697318007662835,0.4724942567664053,7,4
0.755,0.23076923076923078,0.17142857142857143,0.19672131147540983,0.803116883116883,0.3576960495949126,8,0
0.825,0.5,0.42857142857142855,0.46153846153846156,0.8567099567099568,0.5130054916896521,8,1
0.76,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.8145454545454545,0.39760288696941015,8,2
0.81,0.45454545454545453,0.2777777777777778,0.3448275862068966,0.873729674796748,0.5080401943970736,8,3
0.77,0.3333333333333333,0.2777777777777778,0.30303030303030304,0.8214769647696476,0.37686866485577664,8,4
0.775,0.4090909090909091,0.21951219512195122,0.2857142857142857,0.6415861328424605,0.352314205885345,9,0
0.765,0.35,0.17073170731707318,0.22950819672131148,0.762310170271514,0.3906539645294359,9,1
0.82,0.5675675675675675,0.5121951219512195,0.5384615384615384,0.7800276115968707,0.5627949237123472,9,2
0.77,0.4090909090909091,0.21428571428571427,0.28125,0.7300331525015069,0.4126769354110501,9,3
0.81,0.5909090909090909,0.30952380952380953,0.40625,0.7808167570825799,0.5496083757100646,9,4
0.805,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.6717479674796748,0.31866379944068307,10,0
0.77,0.23529411764705882,0.10810810810810811,0.14814814814814814,0.7127342065992373,0.2910826123658821,10,1
0.785,0.35,0.1891891891891892,0.24561403508771928,0.6435914442049412,0.2739216506362453,10,2
0.8,0.38461538461538464,0.13513513513513514,0.2,0.7078428121372907,0.3842043462371586,10,3
0.785,0.2857142857142857,0.10810810810810811,0.1568627450980392,0.686950754435417,0.3417062283175285,10,4
0.785,0.56,0.30434782608695654,0.39436619718309857,0.7661631846414454,0.5376064270809188,11,0
0.77,0.5,0.2391304347826087,0.3235294117647059,0.7554347826086958,0.5194801740980157,11,1
0.725,0.3548387096774194,0.2391304347826087,0.2857142857142857,0.6818887634105025,0.4146732391053306,11,2
0.745,0.41379310344827586,0.2608695652173913,0.32,0.6803359683794467,0.3560893444537827,11,3
0.77,0.5172413793103449,0.3191489361702128,0.39473684210526316,0.7385620915032679,0.4770334260317345,11,4
0.865,0.3333333333333333,0.17391304347826086,0.22857142857142856,0.8111029231147138,0.2954527225348141,12,0
0.855,0.3333333333333333,0.2608695652173913,0.2926829268292683,0.821665438467207,0.35265115007448233,12,1
0.875,0.4,0.17391304347826086,0.24242424242424243,0.8812331122574306,0.462038297469742,12,2
0.895,0.5833333333333334,0.30434782608695654,0.4,0.8468435273888479,0.419191481208376,12,3
0.84,0.2631578947368421,0.21739130434782608,0.23809523809523808,0.8212969786293295,0.37107096668934253,12,4
0.78,0.5641025641025641,0.4489795918367347,0.5,0.7791593458575484,0.6213418238033807,13,0
0.775,0.5625,0.3673469387755102,0.4444444444444444,0.7669955399378294,0.5225713543248063,13,1
0.76,0.5161290322580645,0.32653061224489793,0.4,0.7453709960805514,0.529268599513752,13,2
0.775,0.5588235294117647,0.3877551020408163,0.4578313253012048,0.7861197459116096,0.6045263037260166,13,3
0.81,0.6774193548387096,0.42857142857142855,0.525,0.7883497769968916,0.635769394143684,13,4
0.825,0.6296296296296297,0.40476190476190477,0.4927536231884058,0.844258589511754,0.5970983119418439,14,0
0.795,0.5555555555555556,0.23255813953488372,0.32786885245901637,0.798103984594875,0.5080041213675964,14,1
0.78,0.4782608695652174,0.2558139534883721,0.3333333333333333,0.7485557695156273,0.45727019190894236,14,2
0.83,0.6956521739130435,0.37209302325581395,0.48484848484848486,0.8283217301140572,0.6006669285081151,14,3
0.78,0.4782608695652174,0.2558139534883721,0.3333333333333333,0.7775885054066065,0.4563071561244989,14,4
0.76,0.4827586206896552,0.2978723404255319,0.3684210526315789,0.7300792657488527,0.47780712783771406,15,0
0.745,0.4230769230769231,0.23404255319148937,0.3013698630136986,0.6727158948685857,0.3609915352341136,15,1
0.74,0.38095238095238093,0.1702127659574468,0.23529411764705882,0.7820191906549854,0.44664103437890174,15,2
0.745,0.4090909090909091,0.19148936170212766,0.2608695652173913,0.6619385342789599,0.34810391673113905,15,3
0.765,0.5,0.2553191489361702,0.3380281690140845,0.7745793352802114,0.4742614225813888,15,4
0.74,0.3939393939393939,0.28888888888888886,0.3333333333333333,0.7806451612903226,0.459388334298189,16,0
0.775,0.5,0.4,0.4444444444444444,0.8213620071684588,0.48577710675343067,16,1
0.735,0.3939393939393939,0.2826086956521739,0.3291139240506329,0.7564229249011858,0.37910306460987087,16,2
0.79,0.5833333333333334,0.30434782608695654,0.4,0.8569311123658949,0.5881457741181931,16,3
0.8,0.59375,0.41304347826086957,0.48717948717948717,0.7816205533596837,0.514874530892507,16,4
0.795,0.35,0.2,0.2545454545454545,0.6664935064935065,0.3133031711645839,17,0
0.785,0.3157894736842105,0.16666666666666666,0.21818181818181817,0.7116361788617886,0.31871678418458504,17,1
0.83,0.5625,0.25,0.34615384615384615,0.7628726287262872,0.45665011917151505,17,2
0.785,0.3157894736842105,0.16666666666666666,0.21818181818181817,0.6772527100271003,0.28568114257678573,17,3
0.825,0.5454545454545454,0.16666666666666666,0.2553191489361702,0.7617716802168021,0.4501057472984634,17,4
0.85,0.4782608695652174,0.3793103448275862,0.4230769230769231,0.8187134502923976,0.4292876416209006,18,0
0.82,0.375,0.3,0.3333333333333333,0.7627450980392156,0.35710711854497157,18,1
0.82,0.375,0.3,0.3333333333333333,0.7345098039215686,0.31241241974059536,18,2
0.875,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.7747058823529411,0.4596163171983849,18,3
0.86,0.5714285714285714,0.26666666666666666,0.36363636363636365,0.778529411764706,0.4057631394196236,18,4
0.76,0.4230769230769231,0.25,0.3142857142857143,0.6777389277389277,0.4492207405687662,19,0
0.77,0.4583333333333333,0.25,0.3235294117647059,0.6910693473193473,0.41103666394322924,19,1
0.72,0.2857142857142857,0.18181818181818182,0.2222222222222222,0.5616987179487181,0.2965943606079056,19,2
0.715,0.3333333333333333,0.29545454545454547,0.3132530120481928,0.5942599067599069,0.3443555111469319,19,3
0.73,0.34375,0.25,0.2894736842105263,0.5938228438228439,0.28761099429236725,19,4
0.815,0.5217391304347826,0.3157894736842105,0.39344262295081966,0.781595191682911,0.49466363362962573,20,0
0.79,0.4375,0.3684210526315789,0.4,0.7685997400909681,0.4170566129595151,20,1
0.785,0.4,0.2631578947368421,0.31746031746031744,0.7592592592592592,0.41604927623200283,20,2
0.825,0.6666666666666666,0.20512820512820512,0.3137254901960784,0.7355470616340181,0.49138807095307413,20,3
0.835,0.6153846153846154,0.41025641025641024,0.49230769230769234,0.8226628444019748,0.5726208921256432,20,4
0.78,0.15384615384615385,0.05714285714285714,0.08333333333333333,0.6557575757575758,0.24534223159759988,21,0
0.795,0.36363636363636365,0.22857142857142856,0.2807017543859649,0.6963636363636364,0.37232838431330556,21,1
0.77,0.2916666666666667,0.19444444444444445,0.23333333333333334,0.646680216802168,0.2611524789746183,21,2
0.775,0.2631578947368421,0.1388888888888889,0.18181818181818182,0.6418529810298104,0.25020553160810866,21,3
0.775,0.2,0.08333333333333333,0.11764705882352941,0.6117039295392954,0.21893810660817054,21,4
0.82,0.4838709677419355,0.42857142857142855,0.45454545454545453,0.8202597402597402,0.47411593701250226,22,0
0.815,0.45454545454545453,0.2857142857142857,0.3508771929824561,0.7962770562770562,0.3595432684705257,22,1
0.865,0.7647058823529411,0.3611111111111111,0.49056603773584906,0.8438346883468835,0.5858515433271099,22,2
0.83,0.55,0.3055555555555556,0.39285714285714285,0.8347730352303523,0.49258921492043184,22,3
0.835,0.5714285714285714,0.3333333333333333,0.42105263157894735,0.8165650406504065,0.4839750370575395,22,4
0.8,0.34615384615384615,0.28125,0.3103448275862069,0.7943638392857142,0.37753817859690775,23,0
0.86,0.7,0.21875,0.3333333333333333,0.8169642857142856,0.48097982868076156,23,1
0.79,0.3076923076923077,0.25,0.27586206896551724,0.7718563988095237,0.3445865229806672,23,2
0.85,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.8787878787878788,0.6316188896300277,23,3
0.87,0.6842105263157895,0.3939393939393939,0.5,0.8770640537107603,0.5333079204576241,23,4
0.71,0.20833333333333334,0.11363636363636363,0.14705882352941177,0.5824592074592074,0.2533911382209628,24,0
0.72,0.22727272727272727,0.11363636363636363,0.15151515151515152,0.6173513986013985,0.27646433894605815,24,1
0.725,0.08333333333333333,0.022222222222222223,0.03508771929824561,0.6283870967741935,0.29215109800466454,24,2
0.74,0.29411764705882354,0.1111111111111111,0.16129032258064516,0.6882437275985663,0.3533707295681692,24,3
0.715,0.2,0.08888888888888889,0.12307692307692308,0.6540501792114696,0.2894885729544051,24,4
0.715,0.5151515151515151,0.29310344827586204,0.37362637362637363,0.698033025740651,0.50141228802872,25,0
0.74,0.59375,0.3275862068965517,0.4222222222222222,0.7813258863525984,0.5821880658767343,25,1
0.73,0.5405405405405406,0.3508771929824561,0.425531914893617,0.7282542019384125,0.5194124749116205,25,2
0.73,0.5882352941176471,0.17543859649122806,0.2702702702702703,0.7326094957673905,0.47552925779732125,25,3
0.67,0.3953488372093023,0.2982456140350877,0.34,0.6308428413691571,0.43925822050813146,25,4
0.8,0.35,0.20588235294117646,0.25925925925925924,0.7108433734939759,0.33746349393913067,26,0
0.82,0.4166666666666667,0.14705882352941177,0.21739130434782608,0.6823175053153792,0.35492003463088445,26,1
0.77,0.125,0.058823529411764705,0.08,0.6150779588944011,0.23457746068363744,26,2
0.8,0.2857142857142857,0.11764705882352941,0.16666666666666666,0.608256555634302,0.25078829720701756,26,3
0.78,0.3448275862068966,0.2857142857142857,0.3125,0.7264935064935064,0.35073808630735576,26,4
0.735,0.425,0.3617021276595745,0.39080459770114945,0.7378667779168405,0.41012150101982625,27,0
0.74,0.4,0.16666666666666666,0.23529411764705882,0.6875,0.37885729215315966,27,1
0.755,0.47619047619047616,0.20833333333333334,0.2898550724637681,0.7267680921052632,0.4122383762571703,27,2
0.705,0.35135135135135137,0.2708333333333333,0.3058823529411765,0.672423245614035,0.35000805445010985,27,3
0.745,0.45161290322580644,0.2916666666666667,0.35443037974683544,0.7064144736842105,0.42209050940104326,27,4
0.725,0.41379310344827586,0.24,0.3037974683544304,0.7254,0.4252558335828597,28,0
0.735,0.4594594594594595,0.34,0.39080459770114945,0.6841333333333333,0.4908265044737715,28,1
0.735,0.4411764705882353,0.30612244897959184,0.3614457831325301,0.6635356129206649,0.4116775969038569,28,2
0.805,0.6785714285714286,0.3877551020408163,0.4935064935064935,0.7686849574266793,0.5437912687199769,28,3
0.74,0.4444444444444444,0.24489795918367346,0.3157894736842105,0.6258278145695365,0.3560471829925762,28,4
0.695,0.21875,0.16279069767441862,0.18666666666666668,0.63486890830988,0.27201841183824527,29,0
0.755,0.4,0.27906976744186046,0.3287671232876712,0.6888609094948897,0.3736818984500381,29,1
0.76,0.38095238095238093,0.18604651162790697,0.25,0.7766256850836913,0.456600170353225,29,2
0.78,0.4666666666666667,0.16279069767441862,0.2413793103448276,0.7241890090356984,0.38314395167058013,29,3
0.755,0.39285714285714285,0.2558139534883721,0.30985915492957744,0.7031550881350911,0.3533233811319123,29,4
0.8,0.6666666666666666,0.49056603773584906,0.5652173913043478,0.8341676293158773,0.725172588937593,30,0
0.775,0.6046511627906976,0.48148148148148145,0.5360824742268041,0.7926813800101471,0.6137535644866924,30,1
0.77,0.6052631578947368,0.42592592592592593,0.5,0.7726407914764079,0.6191223912198772,30,2
0.775,0.6,0.5,0.5454545454545454,0.7905885337392187,0.6053310920828995,30,3
